232	724	2446	SA518520	8065704	SP107895	8065704			
233	724	1213	SA518518	8065703	SP107894	8065703		31	21-40%
234	725	2447	SA518676	8067221	SP107899	8067221			
235	725	2448	SA518610	8066800	SP107898	8066800			
236	725	1214	SA518677	8067222	SP107900	8067222		15	1-20%
237	726	1215	SA518734	8068600	SP107928	8068600		53	41-60%
238	726	2449	SA518528	8065726	SP107925	8065726			
239	726	2450	SA518529	8065727	SP107926	8065727			
240	726	2451	SA518712	8067820	SP107927	8067820			
241	726	1216	SA518527	8065725	SP107924	8065725		16	1-20%
242	727	637	SA518683	8067228	SP107929	8067228			
243	727	638	SA518684	8067229	SP107931	8067229			
244	728	1217	SA518710	8067508	SP107889	8067508		41	41-60%
245	728	639	SA518793	8069340	SP107890	8069340			
246	728	640	SA518709	8067289	SP107888	8067289			
247	729	641	SA518836	8070180	SP107893	8070180			
248	729	642	SA518675	8067220	SP107891	8067220			
249	729	1218	SA518835	8070179	SP107892	8070179		40	21-40%
250	241	643	SA518609	8066776	SP107881	8066776			
251	241	1219	SA518670	8067216	SP107883	8067216		19	1-20%
252	241	644	SA518671	8067217	SP107884	8067217			
253	242	1220	SA518513	8065368	SP107885	8065368		14	1-20%
254	242	645	SA518533	8066042	SP107887	8066042			
255	242	646	SA518514	8065370	SP107886	8065370			
256	637	1221	SA518668	8067214	SP107879	8067214		17	1-20%
257	637	647	SA518608	8066752	SP107877	8066752			
258	637	648	SA518669	8067215	SP107880	8067215			
259	243	1222	SA518498	8058531	SP107871	8058531		17	1-20%
260	243	649	SA518499	8058533	SP107872	8058533			
261	243	650	SA518515	8065658	SP107873	8065658			
262	244	1223	SA518664	8067211	SP107874	8067211		64	61-80%
263	244	651	SA518666	8067213	SP107876	8067213			
264	244	2452	SA518665	8067212	SP107875	8067212			
265	638	1224	SA518794	8069341	SP107865	8069341		19	1-20%
266	638	2453	SA518831	8069476	SP107867	8069476			
267	245	2454	SA518663	8067210	SP107870	8067210			
268	245	2455	SA518621	8067065	SP107868	8067065			
269	245	1225	SA518662	8067209	SP107869	8067209		17	1-20%
270	246	2456	SA518658	8067206	SP107862	8067206			
271	246	1226	SA518660	8067207	SP107863	8067207		18	1-20%
272	246	2457	SA518661	8067208	SP107864	8067208			
273	247	1227	SA518536	8066045	SP107858	8066045		18	1-20%
274	247	2458	SA518537	8066047	SP107859	8066047			
275	248	2459	SA518731	8068593	SP107860	8068593			
276	248	2460	SA518732	8068594	SP107861	8068594			
277	639	2461	SA518492	8052864	SP107855	8052864			
278	639	1228	SA518491	8052860	SP107854	8052860		99	>81%
279	639	1229	SA518490	8052859	SP107853	8052859		99	>81%
280	639	2462	SA518493	8052865	SP107856	8052865			
281	639	2463	SA518494	8052928	SP107857	8052928			
282	249	2464	SA518539	8066055	SP107849	8066055			
283	249	1230	SA518507	8060648	SP107847	8060648		17	1-20%
284	249	652	SA518508	8060650	SP107848	8060650			
285	250	1231	SA518534	8066043	SP107851	8066043		23	21-40%
286	250	653	SA518497	8058497	SP107850	8058497			
287	250	654	SA518535	8066044	SP107852	8066044			
288	640	655	SA518501	8059257	SP107843	8059257			
289	640	1232	SA518500	8059255	SP107842	8059255		17	1-20%
290	640	656	SA518657	8067205	SP107845	8067205			
291	251	657	SA518656	8067204	SP107841	8067204			
292	251	1233	SA518655	8067203	SP107840	8067203		32	21-40%
293	251	658	SA518627	8067137	SP107839	8067137			
294	433	659	SA518642	8067189	SP107811	8067189			
295	433	1234	SA518606	8066738	SP107809	8066738		19	1-20%
296	433	660	SA518607	8066740	SP107810	8066740			
297	641	661	SA518648	8067196	SP107832	8067196			
298	641	1235	SA518647	8067195	SP107831	8067195		16	1-20%
299	434	662	SA518652	8067199	SP107836	8067199			
300	434	1236	SA518651	8067198	SP107835	8067198		15	1-20%
